id,timestamp,user_id,request_text,true_category,true_scenario,token_count,response_time_sec,satisfaction_score
3d584a92,2024-01-05T17:32:00,user_002,"Создай презентацию на основе отчёта аналитиков 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Создай презентацию на основе отчёта аналитиков Создай презентацию на основе отчёта аналитиков Создай презентацию на основе отчёта аналитиков Создай презентацию на основе отчёта аналитиков Создай презентацию на основе отчёта аналитиков Создай презентацию на основе отчёта аналитиков",Работа с документами,Обработка документов,118680,2.65,3
1c14bae3,2024-01-05T20:40:00,user_048,"Объясни архитектуру нашего проекта новому разработчику 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Объясни архитектуру нашего проекта новому разработчику Объясни архитектуру нашего проекта новому разработчику Объясни архитектуру нашего проекта новому разработчику Объясни архитектуру нашего проекта новому разработчику Объясни архитектуру нашего проекта новому разработчику",Обучение и онбординг,Обучение сотрудников,127446,24.87,5
a9ae99e7,2024-01-06T23:14:00,user_025,"Составь техническое задание на разработку мобильного приложения 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Составь техническое задание на разработку мобильного приложения Составь техническое задание на разработку мобильного приложения Составь техническое задание на разработку мобильного приложения Составь техническое задание на разработку мобильного приложения",Обучение и онбординг,Стратегические вопросы,55095,38.85,5
8c74eca7,2024-01-07T02:21:00,user_050,"Напиши email-рассылку для клиентов о скидках 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках Напиши email-рассылку для клиентов о скидках",Генерация текста,Создание маркетинговых текстов,80423,11.31,
4a791c21,2024-01-07T14:08:00,user_006,"Как организовать code review в команде из 15 человек? 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Как организовать code review в команде из 15 человек? Как организовать code review в команде из 15 человек? Как организовать code review в команде из 15 человек? Как организовать code review в команде из 15 человек?",Обучение и онбординг,Стратегические вопросы,116424,2.68,
c87577dc,2024-01-08T04:22:00,user_001,"Напиши acceptance criteria для user story 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши acceptance criteria для user story Напиши acceptance criteria для user story Напиши acceptance criteria для user story",Работа с документами,Работа с Jira/Confluence,108356,23.43,4
165df6a3,2024-01-08T09:37:00,user_011,"Составь отчёт о непрочитанных письмах за день 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день Составь отчёт о непрочитанных письмах за день",Работа с документами,Мониторинг почты,119193,3.08,1
d53220a3,2024-01-08T16:36:00,user_021,"Напиши краткий отчёт о проделанной работе за неделю 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю Напиши краткий отчёт о проделанной работе за неделю",Генерация текста,Генерация отчётов и резюме,86281,23.03,5
c8229a4a,2024-01-08T19:18:00,user_028,"Напиши программу для пакетного переименования файлов 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши программу для пакетного переименования файлов Напиши программу для пакетного переименования файлов Напиши программу для пакетного переименования файлов Напиши программу для пакетного переименования файлов Напиши программу для пакетного переименования файлов",Написание кода,Автоматизация рутины,75660,21.7,3
720b0e23,2024-01-09T02:44:00,user_030,"Создай саммари ключевых решений совещания 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания",Генерация текста,Генерация отчётов и резюме,88760,25.75,5
67424f8c,2024-01-09T02:51:00,user_019,"Напиши WebSocket-сервер для чата в реальном времени 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени",Написание кода,Разработка веб-приложений,120814,12.45,1
9cdd37ff,2024-01-09T04:49:00,user_002,"Найди все письма от ключевых клиентов за неделю 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю Найди все письма от ключевых клиентов за неделю",Работа с документами,Мониторинг почты,138231,8.36,5
ad1dab2c,2024-01-09T07:04:00,user_043,"Найди аномалии в данных о транзакциях 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях",Анализ данных,Сбор аналитики,142068,22.03,2
02e44a4d,2024-01-09T21:32:00,user_001,"Что такое Docker и зачем он нужен? 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен? Что такое Docker и зачем он нужен?",Обучение и онбординг,Технические вопросы,117867,30.98,1
9a78bcde,2024-01-10T04:07:00,user_009,"Напиши продающий текст для лендинга нашего продукта 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши продающий текст для лендинга нашего продукта Напиши продающий текст для лендинга нашего продукта Напиши продающий текст для лендинга нашего продукта Напиши продающий текст для лендинга нашего продукта Напиши продающий текст для лендинга нашего продукта",Генерация текста,Создание маркетинговых текстов,126573,20.34,
26c0c935,2024-01-10T05:26:00,user_032,"Найди аномалии в данных о транзакциях 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях Найди аномалии в данных о транзакциях",Анализ данных,Сбор аналитики,126685,9.93,1
cdd45649,2024-01-10T09:09:00,user_016,"Напиши описание для bug report в Jira 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши описание для bug report в Jira Напиши описание для bug report в Jira Напиши описание для bug report в Jira",Работа с документами,Работа с Jira/Confluence,73549,15.76,3
52d3c446,2024-01-10T09:16:00,user_016,"Составь описание продукта для маркетплейса 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Составь описание продукта для маркетплейса Составь описание продукта для маркетплейса Составь описание продукта для маркетплейса Составь описание продукта для маркетплейса",Генерация текста,Создание маркетинговых текстов,148367,24.29,
e89236de,2024-01-10T14:27:00,user_023,"Создай скрипт для автоматической генерации документов по шаблону 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Создай скрипт для автоматической генерации документов по шаблону Создай скрипт для автоматической генерации документов по шаблону Создай скрипт для автоматической генерации документов по шаблону Создай скрипт для автоматической генерации документов по шаблону Создай скрипт для автоматической генерации документов по шаблону Создай скрипт для автоматической генерации документов по шаблону",Написание кода,Автоматизация рутины,65596,33.35,5
48106e87,2024-01-10T16:23:00,user_007,"Составь отчёт об анализе рынка для инвесторов 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Составь отчёт об анализе рынка для инвесторов Составь отчёт об анализе рынка для инвесторов Составь отчёт об анализе рынка для инвесторов Составь отчёт об анализе рынка для инвесторов",Генерация текста,Генерация отчётов и резюме,133978,4.09,2
2aa0d25c,2024-01-10T22:56:00,user_022,"Предскажи вероятность оттока для каждого клиента 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Предскажи вероятность оттока для каждого клиента Предскажи вероятность оттока для каждого клиента Предскажи вероятность оттока для каждого клиента",Анализ данных,Прогнозирование,75431,15.6,5
4e5d8010,2024-01-11T21:19:00,user_025,"Создай саммари ключевых решений совещания 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания Создай саммари ключевых решений совещания",Генерация текста,Генерация отчётов и резюме,94560,20.58,2
152b2a6e,2024-01-12T03:43:00,user_029,"Создай тепловую карту активности пользователей 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей Создай тепловую карту активности пользователей",Анализ данных,Визуализация данных,52379,29.79,3
2eab25b7,2024-01-12T04:06:00,user_012,"Как устроена работа DNS? 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Как устроена работа DNS? Как устроена работа DNS? Как устроена работа DNS?",Обучение и онбординг,Технические вопросы,116087,31.72,3
19bdfd4b,2024-01-12T12:32:00,user_034,"Спрогнозируй бюджет проекта на основе текущих трендов 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Спрогнозируй бюджет проекта на основе текущих трендов Спрогнозируй бюджет проекта на основе текущих трендов Спрогнозируй бюджет проекта на основе текущих трендов Спрогнозируй бюджет проекта на основе текущих трендов Спрогнозируй бюджет проекта на основе текущих трендов Спрогнозируй бюджет проекта на основе текущих трендов",Анализ данных,Прогнозирование,132636,7.39,
c6ffa3e2,2024-01-12T16:40:00,user_050,"Обнови retro-документ по итогам спринта 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Обнови retro-документ по итогам спринта Обнови retro-документ по итогам спринта Обнови retro-документ по итогам спринта",Работа с документами,Работа с Jira/Confluence,117538,18.23,
d340983c,2024-01-12T22:57:00,user_047,"Создай шаблон письма о плановых технических работах 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Создай шаблон письма о плановых технических работах Создай шаблон письма о плановых технических работах Создай шаблон письма о плановых технических работах Создай шаблон письма о плановых технических работах Создай шаблон письма о плановых технических работах Создай шаблон письма о плановых технических работах",Работа с клиентами,Поддержка клиентов,142217,15.45,3
a8bbb90e,2024-01-13T02:04:00,user_014,"Обнови страницу Confluence с документацией API 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Обнови страницу Confluence с документацией API Обнови страницу Confluence с документацией API Обнови страницу Confluence с документацией API Обнови страницу Confluence с документацией API",Работа с документами,Работа с Jira/Confluence,87697,27.26,3
0dc510e6,2024-01-13T23:54:00,user_021,"Напиши WebSocket-сервер для чата в реальном времени 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени Напиши WebSocket-сервер для чата в реальном времени",Написание кода,Разработка веб-приложений,139147,9.97,1
03752b88,2024-01-15T00:53:00,user_020,"Напиши программу для конвертации документов из PDF в Word 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Напиши программу для конвертации документов из PDF в Word Напиши программу для конвертации документов из PDF в Word Напиши программу для конвертации документов из PDF в Word Напиши программу для конвертации документов из PDF в Word Напиши программу для конвертации документов из PDF в Word",Написание кода,Автоматизация рутины,92533,28.31,4
67634d5e,2024-01-15T11:56:00,user_012,"Создай CRUD-эндпоинты для работы с товарами 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Создай CRUD-эндпоинты для работы с товарами Создай CRUD-эндпоинты для работы с товарами Создай CRUD-эндпоинты для работы с товарами Создай CRUD-эндпоинты для работы с товарами",Написание кода,Разработка веб-приложений,137233,7.74,
021038f1,2024-01-15T12:19:00,user_049,"Извлеки все даты и дедлайны из проектной документации 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Извлеки все даты и дедлайны из проектной документации Извлеки все даты и дедлайны из проектной документации Извлеки все даты и дедлайны из проектной документации Извлеки все даты и дедлайны из проектной документации Извлеки все даты и дедлайны из проектной документации Извлеки все даты и дедлайны из проектной документации",Работа с документами,Обработка документов,121488,19.84,3
f966c44d,2024-01-15T14:06:00,user_042,"Напиши инструкцию для клиента по настройке интеграции 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — кратко.

Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции Напиши инструкцию для клиента по настройке интеграции",Работа с клиентами,Поддержка клиентов,52372,8.55,4
aaf9a93b,2024-01-15T14:42:00,user_034,"Проверь документ на соответствие стандартам компании 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — кратко.

Проверь документ на соответствие стандартам компании Проверь документ на соответствие стандартам компании Проверь документ на соответствие стандартам компании",Работа с документами,Обработка документов,63035,25.89,1
3d595c0e,2024-01-15T19:56:00,user_024,"Составь черновик ответа на письмо от инвестора 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Составь черновик ответа на письмо от инвестора Составь черновик ответа на письмо от инвестора Составь черновик ответа на письмо от инвестора Составь черновик ответа на письмо от инвестора Составь черновик ответа на письмо от инвестора Составь черновик ответа на письмо от инвестора",Работа с документами,Мониторинг почты,65433,24.78,4
5bc5cb92,2024-01-16T04:38:00,user_050,"Перепиши этот код с использованием паттерна Repository 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: высокая. Дополнительные требования: стиль — деловой, объём — подробно.

Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository Перепиши этот код с использованием паттерна Repository",Написание кода,Анализ и оптимизация кода,52025,15.99,1
8afd3f29,2024-01-16T12:17:00,user_039,"Объясни паттерн проектирования Singleton на примере 

Контекст: Работаю над проектом в сфере IT, команда из 10 человек. Срочность: средняя. Дополнительные требования: стиль — деловой, объём — подробно.

Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере Объясни паттерн проектирования Singleton на примере",Обучение и онбординг,Технические вопросы,95211,17.33,1
